Company,Recommendations
A,6
AAL,6
AAP,6
AAPL,6
ABBV,6
ABC,6
ABMD,6
ABT,6
ACN,6
ADBE,6
ADI,6
ADM,6
ADP,6
ADSK,6
AEE,6
AEP,6
AES,6
AFL,6
AIG,6
AIZ,6
AJG,6
AKAM,6
ALB,6
ALGN,6
ALK,6
ALL,6
ALLE,6
AMAT,6
AMCR,6
AMD,6
AME,6
AMGN,6
AMP,6
AMT,6
AMZN,6
ANET,6
ANSS,6
ANTM,6
AON,6
AOS,6
APA,6
APD,6
APH,6
APTV,6
ARE,6
ATO,6
ATVI,6
AVB,6
AVGO,6
AVY,6
AWK,6
AXP,6
AZO,6
BA,6
BAC,6
BAX,6
BBY,6
BDX,6
BEN,6
BF-B,6
BIIB,6
BIO,6
BK,6
BKNG,6
BKR,6
BLK,6
BLL,6
BMY,6
BR,6
BRK-B,6
BSX,6
BWA,6
BXP,6
C,6
CAG,6
CAH,6
CARR,6
CAT,6
CB,6
CBOE,6
CBRE,6
CCI,6
CCL,6
CDNS,6
CDW,6
CE,6
CERN,6
CF,6
CFG,6
CHD,6
CHRW,6
CHTR,6
CI,6
CINF,6
CL,6
CLX,6
CMA,6
CMCSA,6
CME,6
CMG,6
CMI,6
CMS,6
CNC,6
CNP,6
COF,6
COG,6
COO,6
COP,6
COST,6
CPB,6
CPRT,6
CRL,6
CRM,6
CSCO,6
CSX,6
CTAS,6
CTLT,6
CTSH,6
CTVA,6
CTXS,6
CVS,6
CVX,6
CZR,6
D,6
DAL,6
DD,6
DE,6
DFS,6
DG,6
DGX,6
DHI,6
DHR,6
DIS,6
DISCA,6
DISCK,6
DISH,6
DLR,6
DLTR,6
DOV,6
DOW,6
DPZ,6
DRE,6
DRI,6
DTE,6
DUK,6
DVA,6
DVN,6
DXC,6
DXCM,6
EA,6
EBAY,6
ECL,6
ED,6
EFX,6
EIX,6
EL,6
EMN,6
EMR,6
ENPH,6
EOG,6
EQIX,6
EQR,6
ES,6
ESS,6
ETN,6
ETR,6
ETSY,6
EVRG,6
EW,6
EXC,6
EXPD,6
EXPE,6
EXR,6
F,6
FANG,6
FAST,6
FB,6
FBHS,6
FCX,6
FDX,6
FE,6
FFIV,6
FIS,6
FISV,6
FITB,6
FLT,6
FMC,6
FOX,6
FOXA,6
FRC,6
FRT,6
FTNT,6
FTV,6
GD,6
GE,6
GILD,6
GIS,6
GL,6
GLW,6
GM,6
GNRC,6
GOOG,6
GOOGL,6
GPC,6
GPN,6
GPS,6
GRMN,6
GS,6
GWW,6
HAL,6
HAS,6
HBAN,6
HBI,6
HCA,6
HD,6
HES,6
HIG,6
HII,6
HLT,6
HOLX,6
HON,6
HPE,6
HPQ,6
HRL,6
HSIC,6
HST,6
HSY,6
HUM,6
HWM,6
IBM,6
ICE,6
IDXX,6
IEX,6
IFF,6
ILMN,6
INCY,6
INFO,6
INTC,6
INTU,6
IP,6
IPG,6
IPGP,6
IQV,6
IR,6
IRM,6
ISRG,6
IT,6
ITW,6
IVZ,6
J,6
JBHT,6
JCI,6
JKHY,6
JNJ,6
JNPR,6
JPM,6
K,6
KEY,6
KEYS,6
KHC,6
KIM,6
KLAC,6
KMB,6
KMI,6
KMX,6
KO,6
KR,6
KSU,6
L,6
LB,6
LDOS,6
LEG,6
LEN,6
LH,6
LHX,6
LIN,6
LKQ,6
LLY,6
LMT,6
LNC,6
LNT,6
LOW,6
LRCX,6
LUMN,6
LUV,6
LVS,6
LW,6
LYB,6
LYV,6
MA,6
MAA,6
MAR,6
MAS,6
MCD,6
MCHP,6
MCK,6
MCO,6
MDLZ,6
MDT,6
MET,6
MGM,6
MHK,6
MKC,6
MKTX,6
MLM,6
MMC,6
MMM,6
MNST,6
MO,6
MOS,6
MPC,6
MPWR,6
MRK,6
MRNA,6
MRO,6
MS,6
MSCI,6
MSFT,6
MSI,6
MTB,6
MTD,6
MU,6
MXIM,6
NCLH,6
NDAQ,6
NEE,6
NEM,6
NFLX,6
NI,6
NKE,6
NLOK,6
NLSN,6
NOC,6
NOV,6
NOW,6
NRG,6
NSC,6
NTAP,6
NTRS,6
NUE,6
NVDA,6
NVR,6
NWL,6
NWS,6
NWSA,6
NXPI,6
O,6
ODFL,6
OGN,6
OKE,6
OMC,6
ORCL,6
ORLY,6
OTIS,6
OXY,6
PAYC,6
PAYX,6
PBCT,6
PCAR,6
PEAK,6
PEG,6
PENN,6
PEP,6
PFE,6
PFG,6
PG,6
PGR,6
PH,6
PHM,6
PKG,6
PKI,6
PLD,6
PM,6
PNC,6
PNR,6
PNW,6
POOL,6
PPG,6
PPL,6
PRGO,6
PRU,6
PSA,6
PSX,6
PTC,6
PVH,6
PWR,6
PXD,6
PYPL,6
QCOM,6
QRVO,6
RCL,6
RE,6
REG,6
REGN,6
RF,6
RHI,6
RJF,6
RL,6
RMD,6
ROK,6
ROL,6
ROP,6
ROST,6
RSG,6
RTX,6
SBAC,6
SBUX,6
SCHW,6
SEE,6
SHW,6
SIVB,6
SJM,6
SLB,6
SNA,6
SNPS,6
SO,6
SPG,6
SPGI,6
SRE,6
STE,6
STT,6
STX,6
STZ,6
SWK,6
SWKS,6
SYF,6
SYK,6
SYY,6
T,6
TAP,6
TDG,6
TDY,6
TEL,6
TER,6
TFC,6
TFX,6
TGT,6
TJX,6
TMO,6
TMUS,6
TPR,6
TRMB,6
TROW,6
TRV,6
TSCO,6
TSLA,6
TSN,6
TT,6
TTWO,6
TWTR,6
TXN,6
TXT,6
TYL,6
UA,6
UAA,6
UAL,6
UDR,6
UHS,6
ULTA,6
UNH,6
UNM,6
UNP,6
UPS,6
URI,6
USB,6
V,6
VFC,6
VIAC,6
VLO,6
VMC,6
VNO,6
VRSK,6
VRSN,6
VRTX,6
VTR,6
VTRS,6
VZ,6
WAB,6
WAT,6
WBA,6
WDC,6
WEC,6
WELL,6
WFC,6
WHR,6
WLTW,6
WM,6
WMB,6
WMT,6
WRB,6
WRK,6
WST,6
WU,6
WY,6
WYNN,6
XEL,6
XLNX,6
XOM,6
XRAY,6
XYL,6
YUM,6
ZBH,6
ZBRA,6
ZION,6
ZTS,6
